AÑO;MES;DISTRITO;FUEGOS;DAÑOS EN CONSTRUCCION;SALVAMENTOS Y RESCATES;DAÑOS POR AGUA;INCIDENTES DIVERSOS;SALIDAS SIN INTERVENCION;SERVICIOS VARIOS;TOTAL
2023;agosto;CENTRO;54;24;76;21;56;10;6;247
2023;agosto;ARGANZUELA;14;12;29;16;48;3;3;125
2023;agosto;RETIRO;10;2;26;13;23;4;0;78
2023;agosto;SALAMANCA;20;15;25;19;29;6;0;114
2023;agosto;CHAMARTIN;20;7;30;13;51;7;1;129
2023;agosto;TETUAN;28;4;35;27;22;4;2;122
2023;agosto;CHAMBERI;5;4;35;14;29;3;0;90
2023;agosto;FUENCARRAL;28;10;38;19;51;4;1;151
2023;agosto;MONCLOA;26;9;32;18;50;1;2;138
2023;agosto;LATINA;39;5;52;22;49;7;0;174
2023;agosto;CARABANCHEL;37;11;71;19;37;7;1;183
2023;agosto;USERA;24;0;30;7;33;5;3;102
2023;agosto;PUENTE VALLECAS;42;15;57;20;44;5;1;184
2023;agosto;MORATALAZ;10;2;20;11;14;0;1;58
2023;agosto;CIUDAD LINEAL;17;7;38;16;47;3;2;130
2023;agosto;HORTALEZA;24;5;34;20;61;7;0;151
2023;agosto;VILLAVERDE;45;5;24;12;43;1;0;130
2023;agosto;VILLA DE VALLECAS;43;5;25;5;19;4;0;101
2023;agosto;VICALVARO;10;1;18;2;19;1;2;53
2023;agosto;SAN BLAS;34;7;29;10;27;1;2;110
2023;agosto;BARAJAS;12;2;8;4;12;4;0;42
2023;agosto;FUERA TERMINO MUNICIPAL;4;0;2;0;0;0;1;7
2023;julio;CENTRO;50;32;67;32;59;29;18;287
2023;julio;ARGANZUELA;12;7;34;11;30;12;1;107
2023;julio;RETIRO;12;5;31;10;21;5;1;85
2023;julio;SALAMANCA;27;9;42;13;35;13;1;140
2023;julio;CHAMARTIN;19;4;26;17;38;8;1;113
2023;julio;TETUAN;29;9;49;16;15;7;4;129
2023;julio;CHAMBERI;25;8;37;10;22;5;2;109
2023;julio;FUENCARRAL;29;6;50;16;33;13;2;149
2023;julio;MONCLOA;22;7;30;12;54;10;7;142
2023;julio;LATINA;37;11;53;19;41;9;1;171
2023;julio;CARABANCHEL;38;13;53;14;33;6;0;157
2023;julio;USERA;28;4;34;12;28;5;4;115
2023;julio;PUENTE VALLECAS;41;10;63;24;41;8;2;189
2023;julio;MORATALAZ;9;3;15;8;12;6;1;54
2023;julio;CIUDAD LINEAL;24;9;55;10;45;9;0;152
2023;julio;HORTALEZA;24;4;37;7;40;4;0;116
2023;julio;VILLAVERDE;42;3;33;2;26;12;8;126
2023;julio;VILLA DE VALLECAS;36;3;30;5;17;9;1;101
2023;julio;VICALVARO;13;2;19;11;9;3;8;65
2023;julio;SAN BLAS;27;6;30;14;27;9;4;117
2023;julio;BARAJAS;6;1;7;1;9;0;2;26
2023;julio;FUERA TERMINO MUNICIPAL;0;0;0;0;0;1;0;1
2023;junio;CENTRO;44;33;57;22;50;34;18;258
2023;junio;ARGANZUELA;11;8;24;13;27;16;9;108
2023;junio;RETIRO;11;6;20;9;16;7;3;72
2023;junio;SALAMANCA;15;15;26;15;40;20;2;133
2023;junio;CHAMARTIN;9;5;30;7;31;8;6;96
2023;junio;TETUAN;18;9;21;13;29;8;5;103
2023;junio;CHAMBERI;15;14;41;11;24;16;9;130
2023;junio;FUENCARRAL;20;6;28;18;42;23;9;146
2023;junio;MONCLOA;14;3;33;13;43;11;6;123
2023;junio;LATINA;21;11;41;12;40;11;8;144
2023;junio;CARABANCHEL;22;15;38;16;48;27;9;175
2023;junio;USERA;10;4;22;7;18;8;5;74
2023;junio;PUENTE VALLECAS;41;2;32;22;39;14;5;155
2023;junio;MORATALAZ;5;2;16;8;10;5;2;48
2023;junio;CIUDAD LINEAL;29;11;36;17;45;24;2;164
2023;junio;HORTALEZA;17;4;27;8;36;16;3;111
2023;junio;VILLAVERDE;19;5;18;10;28;11;4;95
2023;junio;VILLA DE VALLECAS;21;4;16;5;15;15;1;77
2023;junio;VICALVARO;12;1;12;3;12;7;6;53
2023;junio;SAN BLAS;26;4;17;23;31;13;4;118
2023;junio;BARAJAS;5;4;5;1;20;4;6;45
2023;junio;FUERA TERMINO MUNICIPAL;1;0;0;0;2;0;2;5
2023;mayo;CENTRO;51;29;45;34;60;40;20;279
2023;mayo;ARGANZUELA;16;3;19;10;27;25;6;106
2023;mayo;RETIRO;9;5;19;9;18;9;2;71
2023;mayo;SALAMANCA;9;12;33;17;35;17;5;128
2023;mayo;CHAMARTIN;21;11;16;8;33;11;8;108
2023;mayo;TETUAN;18;17;28;15;22;17;4;121
2023;mayo;CHAMBERI;20;14;32;13;16;18;4;117
2023;mayo;FUENCARRAL;27;4;28;20;43;21;8;151
2023;mayo;MONCLOA;29;5;25;12;30;16;14;131
2023;mayo;LATINA;32;12;28;22;43;20;15;172
2023;mayo;CARABANCHEL;28;12;40;15;42;25;11;173
2023;mayo;USERA;23;7;27;16;27;15;4;119
2023;mayo;PUENTE VALLECAS;28;4;33;18;40;23;9;155
2023;mayo;MORATALAZ;22;1;13;1;17;6;0;60
2023;mayo;CIUDAD LINEAL;18;6;24;4;37;20;3;112
2023;mayo;HORTALEZA;23;9;19;19;39;23;2;134
2023;mayo;VILLAVERDE;30;3;14;7;27;14;2;97
2023;mayo;VILLA DE VALLECAS;15;2;17;1;16;13;1;65
2023;mayo;VICALVARO;12;3;7;6;12;6;1;47
2023;mayo;SAN BLAS;26;4;18;14;20;16;6;104
2023;mayo;BARAJAS;2;2;10;11;11;2;1;39
2023;mayo;FUERA TERMINO MUNICIPAL;2;0;0;0;0;1;6;9
2023;abril;CENTRO;30;14;62;19;45;39;14;223
2023;abril;ARGANZUELA;11;9;23;12;22;11;1;89
2023;abril;RETIRO;15;3;17;6;15;7;2;65
2023;abril;SALAMANCA;18;11;30;8;24;13;7;111
2023;abril;CHAMARTIN;17;8;21;11;24;7;10;98
2023;abril;TETUAN;32;6;38;11;11;11;6;115
2023;abril;CHAMBERI;18;10;32;7;15;11;4;97
2023;abril;FUENCARRAL;21;3;30;6;22;14;10;106
2023;abril;MONCLOA;28;6;28;9;29;14;10;124
2023;abril;LATINA;33;5;43;5;19;10;3;118
2023;abril;CARABANCHEL;28;9;35;14;27;14;1;128
2023;abril;USERA;24;8;30;8;12;13;8;103
2023;abril;PUENTE VALLECAS;45;9;43;15;27;14;9;162
2023;abril;MORATALAZ;10;1;21;2;12;7;1;54
2023;abril;CIUDAD LINEAL;30;8;42;16;13;9;2;120
2023;abril;HORTALEZA;33;4;20;3;24;11;3;98
2023;abril;VILLAVERDE;32;4;21;7;17;5;4;90
2023;abril;VILLA DE VALLECAS;24;1;18;5;11;9;2;70
2023;abril;VICALVARO;7;1;9;3;7;4;3;34
2023;abril;SAN BLAS;13;3;32;8;17;6;4;83
2023;abril;BARAJAS;14;0;5;1;7;2;2;31
2023;abril;FUERA TERMINO MUNICIPAL;0;0;1;0;0;0;4;5
2023;marzo;CENTRO;46;25;78;24;72;32;11;288
2023;marzo;ARGANZUELA;16;6;23;5;18;12;2;82
2023;marzo;RETIRO;14;9;11;6;9;7;1;57
2023;marzo;SALAMANCA;17;16;44;9;21;7;9;123
2023;marzo;CHAMARTIN;14;5;30;6;20;8;6;89
2023;marzo;TETUAN;13;8;38;12;23;5;4;103
2023;marzo;CHAMBERI;13;11;30;9;16;6;4;89
2023;marzo;FUENCARRAL;18;3;31;11;26;6;4;99
2023;marzo;MONCLOA;11;11;23;5;19;7;1;77
2023;marzo;LATINA;23;7;29;7;15;13;7;101
2023;marzo;CARABANCHEL;35;4;30;9;26;16;0;120
2023;marzo;USERA;15;4;21;5;17;7;2;71
2023;marzo;PUENTE VALLECAS;36;10;49;8;21;16;3;143
2023;marzo;MORATALAZ;14;2;24;2;10;2;1;55
2023;marzo;CIUDAD LINEAL;18;6;30;11;29;8;1;103
2023;marzo;HORTALEZA;14;1;27;7;27;10;3;89
2023;marzo;VILLAVERDE;21;8;28;5;13;6;7;88
2023;marzo;VILLA DE VALLECAS;27;3;19;5;10;8;3;75
2023;marzo;VICALVARO;9;2;9;5;5;1;3;34
2023;marzo;SAN BLAS;11;6;25;5;14;6;2;69
2023;marzo;BARAJAS;5;0;3;1;7;6;1;23
2023;marzo;FUERA TERMINO MUNICIPAL;0;0;1;0;0;2;3;6
2023;febrero;CENTRO;25;17;41;20;33;24;9;169
2023;febrero;ARGANZUELA;14;1;13;15;12;8;4;67
2023;febrero;RETIRO;9;4;19;4;15;9;2;62
2023;febrero;SALAMANCA;20;8;28;10;23;5;7;101
2023;febrero;CHAMARTIN;14;5;20;5;18;7;6;75
2023;febrero;TETUAN;12;7;26;9;16;8;1;79
2023;febrero;CHAMBERI;15;4;22;11;20;6;8;86
2023;febrero;FUENCARRAL;14;2;20;7;12;12;9;76
2023;febrero;MONCLOA;9;3;11;6;9;11;8;57
2023;febrero;LATINA;26;6;27;5;12;16;4;96
2023;febrero;CARABANCHEL;27;6;29;9;16;14;4;105
2023;febrero;USERA;16;2;16;7;17;3;5;66
2023;febrero;PUENTE VALLECAS;34;2;23;13;22;9;36;139
2023;febrero;MORATALAZ;12;0;11;1;5;5;0;34
2023;febrero;CIUDAD LINEAL;25;6;28;12;14;6;4;95
2023;febrero;HORTALEZA;13;6;16;6;14;5;4;64
2023;febrero;VILLAVERDE;18;2;17;9;6;5;9;66
2023;febrero;VILLA DE VALLECAS;24;2;15;4;14;7;4;70
2023;febrero;VICALVARO;8;1;11;1;9;2;5;37
2023;febrero;SAN BLAS;23;4;19;3;16;9;3;77
2023;febrero;BARAJAS;2;0;4;2;7;5;3;23
2023;febrero;FUERA TERMINO MUNICIPAL;2;0;1;0;2;2;1;8
2023;enero;CENTRO;35;35;52;21;38;61;3;245
2023;enero;ARGANZUELA;15;13;28;6;25;25;3;115
2023;enero;RETIRO;4;7;12;6;8;15;6;58
2023;enero;SALAMANCA;8;9;23;8;20;28;7;103
2023;enero;CHAMARTIN;17;11;21;4;17;20;10;100
2023;enero;TETUAN;16;9;25;13;14;24;4;105
2023;enero;CHAMBERI;7;14;28;15;16;24;3;107
2023;enero;FUENCARRAL;21;6;24;11;28;23;4;117
2023;enero;MONCLOA;9;13;14;6;32;24;8;106
2023;enero;LATINA;20;5;32;13;26;36;11;143
2023;enero;CARABANCHEL;21;11;31;4;19;33;2;121
2023;enero;USERA;23;7;13;4;21;19;6;93
2023;enero;PUENTE VALLECAS;33;11;41;6;38;32;41;202
2023;enero;MORATALAZ;6;0;13;6;5;15;1;46
2023;enero;CIUDAD LINEAL;11;5;29;10;33;35;3;126
2023;enero;HORTALEZA;9;8;15;7;24;17;0;80
2023;enero;VILLAVERDE;17;4;14;2;16;17;3;73
2023;enero;VILLA DE VALLECAS;15;7;19;5;7;22;2;77
2023;enero;VICALVARO;9;5;8;3;8;6;2;41
2023;enero;SAN BLAS;16;3;25;4;10;20;1;79
2023;enero;BARAJAS;1;2;4;2;15;13;8;45
2023;enero;FUERA DEL TÉRMINO MUNICIPAL;0;0;0;0;2;1;0;3
